Query,SearchTerm,Kingdom,Phylum,Class,Order,Family,Genus,Species,EOL,NCBI,Wikipedia,IUCN,GBIF,ITIS,
GRAND CAIMAN IGUANA,Grand caiman iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,(cites).,(cites). (cites).,,,NA,http://www.iucnredlist.org/details/44275/0,NA,,
COCKATOO ROUGE FISH,Cockatoo rouge fish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Ablabys,Ablabys taenianotus,,,https://en.wikipedia.org/wiki/Ablabys_taenianotus,NA,NA,,
HIGH-BACKED HEADSTANDER,High-backed headstander,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52626800,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=1396860$retmode=xml,https://en.wikipedia.org/wiki/High-backed_headstander,NA,NA,,
GUATEMALAN ARBOREAL LIZARD,Guatemalan arboreal lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia anzuetoi,,,https://en.wikipedia.org/wiki/Anzuetoi_arboreal_alligator_lizard,NA,NA,,
GUATEMALAN ALLIGATOR LIZARD,Guatemalan alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia anzuetoi,,,https://en.wikipedia.org/wiki/Anzuetoi_arboreal_alligator_lizard,NA,NA,,
MEXICAN ALLIGATOR LIZARD,Mexican alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia graminea,,,NA,http://www.iucnredlist.org/details/63678/0,NA,,
WHITE ALLIGATOR,White alligator,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia leurolepis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580882,NA,NA,NA,NA,,
RED-LIPPED ABROREAL ALLIGATOR LIZARD ,Red-lipped abroreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia lythrochila,,,NA,http://www.iucnredlist.org/details/63680/0,NA,,
ARBOREAL ALLIGATOR LIZARD,Arboreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia taeniata,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580896,NA,NA,NA,NA,,
ARBOREAL ALLIGATOR LIZARD ,Arboreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia taeniata,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580896,NA,NA,NA,NA,,
