Abilene Zoological Gardens, Texas 
Acuario de Veracruz, Mexico
Adventure Aquarium, N.J.
Africam Safari Park, Mexico
African Safari Wildlife Park, Ohio
Akron Zoological Park, Ohio
Alaska SeaLife Center, Alaska
Albuquerque Biological Park, N.M.
Alexandria Zoological Park, La.
Aquarium of Niagara, N.Y.
Aquarium of the Bay, Calif.
Aquarium of the Pacific, Calif.
Arizona Sonora Desert Museum, Ariz.
Assiniboine Park Zoo, Canada
Atlantis, Paradise Island  Bahamas 
Audubon Aquarium of the Americas, La.
Audubon Zoo, La.
Bergen County Zoological Park, N.J.
Bermuda Aquarium  Museum and Zoo , Bermuda
Binder Park Zoo, Mich.
Birch Aquarium at Scripps, Calif.
Birmingham Zoo, Ala.
Blank Park Zoo, Iowa
Boonshoft Museum of Discovery, Ohio
Bramble Park Zoo, S.D.
Brandywine Zoo, Del.
Brevard Zoo, Fla.
Bronx Zoo/WCS, N.Y.
Brookgreen Gardens, S.C.
Buffalo Zoo, N.Y.
Busch Gardens (Tampa), Fla.
The Butterfly House, Mo.
Butterfly Pavilion, Colo.
Buttonwood Park Zoo, Mass.
Cabrillo Marine Aquarium, Calif.
Caldwell Zoo, Texas
Calgary Zoo, Canada
California Science Center, Calif.
Cameron Park Zoo, Texas
Cape May County Park Zoo, N.J.
Capron Park Zoo, Mass.
Central Florida Zoological Park, Fla.
Central Park Zoo, N.Y.
Chahinkapa Zoo, N.D.
Charles Paddock Zoo, Calif.
Chattanooga Zoo at Warner Park, Tenn.
Cheyenne Mountain Zoological Park, Colo.
Chicago Zoological Society - Brookfield Zoo, Ill.
Cincinnati Zoo and Botanical Garden, Ohio
Cleveland Metroparks Zoo, Ohio
Clyde Peeling's Reptiland, Pa.
Columbus Zoo and Aquarium, Ohio
Como Park Zoo and Conservatory, Minn.
Connecticut's Beardsley Zoo, Conn.
Cosley Zoo, Ill.
CuriOdyssey, Calif.
Dakota Zoo, N.D. 
Dallas World Aquarium, Texas
Dallas Zoo, Texas
David Traylor Zoo of Emporia, Kan.
Denver Zoological Gardens, Colo.
Detroit Zoological Park, Mich.
Dickerson Park Zoo, Mo.
Discovery Cove, Fla.
Disney's Animal Kingdom, Fla.
Dolphin Discovery Cozumel, Mexico
Dolphin Discovery Isla Mujeres, Mexico
Dolphin Discovery Punta Cana, Dominican Republic
Dolphin Island, Singapore
El Paso Zoo, Texas
Ellen Trout Zoo, Texas
Elmwood Park Zoo, Pa.
Erie Zoo, Pa.
Everland Zoo, South Korea
 The  Florida Aquarium, Fla.
Fort Wayne Children's Zoo, Ind.
Fort Worth Zoo, Texas
Fossil Rim Wildlife Center, Texas
Franklin Park Zoo, Mass.
Fresno Chaffee Zoo,Calif.
Fundación Temaikèn, Argentina 
Georgia Aquarium, Ga.
Gladys Porter Zoo, Texas
Great Plains Zoo and Delbridge Museum of Natural History, S.D.
Greensboro Science Center, N.C.
Greenville Zoo, S.C.
Grizzly & Wolf Discovery Center, Mont.
Happy Hollow Zoo, Calif.
Henry Vilas Zoo, Wis.
Houston Zoo,Texas
Hutchinson Zoo, Kan.
Idaho Falls Zoo at Tautphaus Park, Idaho
Indianapolis Zoological Society, Ind. 
International Crane Foundation, Wis.
Jacksonville Zoo and Gardens, Fla.
Jenkinson's Aquarium, N.J.
John Ball Zoological Gardens, Mich.
John G. Shedd Aquarium, Ill.
Kansas City Zoo, Mo. 
Lake Superior Zoo, Minn.
Landry's Downtown Aquarium - Denver, Colo. 
Landry's Houston Aquarium, Texas
Lee G. Simmons Conservation Park & Wildlife Safari, Nebraska
Lee Richardson Zoo, Kansas
Lehigh Valley Zoo, Penn.
Lincoln Children's Zoo, Nebraska
Lincoln Park Zoological Gardens, Ill. 
Lion Country Safari, Fla.
Little Rock Zoological Gardens, Arkansas 
Living Desert Zoo & Gardens State Park, NM
The Living Desert Zoo and Gardens, Calif.
Los Angeles Zoo, Calif.
Louisville Zoological Garden, Ky.
Loveland Living Planet Aquarium, Utah
Maritime Aquarium at Norwalk, Conn.
Maryland Zoo in Baltimore, Md. 
Memphis Zoological Garden and Aquarium, Tenn.
Mesker Park Zoo & Botanic Garden, Ind.
Miller Park Zoo, Ill.
Milwaukee County Zoological Gardens, Wis.
Minnesota Zoological Garden, Minn.
Monterey Bay Aquarium, Calif.
Moody Gardens Rainforest and Aquarium, Texas
Mote Marine Laboratory and Aquarium, Fla.
Museum of Life and Science, N.C.
Museum of Science, Mass.
Mystic Aquarium, Conn.
